customer_id,customer_zip_code_prefix,customer_city,customer_state
I74lXDOfoqsp,6020,goiania,go
47TuLHF2s7X5,23020,viamao,rs
dQ0dqI8Qwlj8,75094,campinas,sp
iQCmWhNkIczb,89284,santana de parnaiba,sp
Dp2g6JH8tO5Z,39810,aripuana,mt
s18Fn5Tz7Jml,65790,sao jose do rio preto,sp
9rXAwNe0G0m5,25245,sao bento do sul,sc
o3yCAPMIPtLj,97560,sao paulo,sp
PHGrixjXAt4t,32430,barueri,sp
K6lNXbhXbvwg,8571,divinopolis,mg
WaitNYVtRT2x,8664,sao paulo,sp
WDjs7f3Yv8Va,26155,sao paulo,sp
ViMUFfeZLwv5,60120,rio de janeiro,rj
ZdAOMosp5YDg,73805,guarulhos,sp
jVsS0bHgLHcJ,75440,palmas,to
D1KiQOWblWjh,45037,presidente prudente,sp
I1orDozbJsZY,3953,brasilia,df
bincH34GAiat,13213,criciuma,sc
J534NgM03SXi,33935,guarulhos,sp
11rzNuxGsM6E,7916,anapolis,go
AJoqBQ1l9z0V,4747,juiz de fora,mg
M5goXy4LtmuO,9040,resende,rj
eRIr8uMQixin,40390,salvador,ba
ZOgCiosZBHhF,62625,salvador,ba
Do7ckrlRk5rx,35488,santana do jacare,mg
bjThJDPGWpGK,12120,curitiba,pr
x15nG700z7OG,95795,sao paulo,sp
Xh2kQlpOqm8I,68195,jacutinga,mg
gqBYWjnoUV7B,18900,rio de janeiro,rj
kmlqsg9Gk5uQ,68140,taboao da serra,sp
smZvvNLvV8Ez,9407,santa cruz do sul,rs
eOL1qbT6GIl5,74150,resende,rj
8CH2KOo6b3iE,4923,ribeirao pires,sp
PGfqqeXWFN4T,75600,aracati,ce
f8I8oYaA7t7w,85025,vargem grande do sul,sp
4LCk55VNuZB7,53425,sao paulo,sp
kuB5S1kHsjKK,6220,porto alegre,rs
QGN0QrmHtymT,18108,belo horizonte,mg
l7nqhW5os9MR,12924,santos,sp
sQnzUN1MPa8t,15900,limeira,sp
S728b0DhidXp,1308,capelinha,mg
7HMxp8E7C2sh,4721,sorocaba,sp
LAEzF0DIX9Ji,4564,mesquita,rj
MzcqTnXLe10i,55410,jundiai,sp
i41FdkGhLoWC,24940,correia pinto,sc
8H4jHVTcDgh3,93950,sao paulo,sp
IYhLLNrleCkP,13617,sao paulo,sp
JyQzFoxlhfxF,65077,sao luis,ma
sOlw163EqSSe,88485,sao jose,sc
AZn6IjMeDt40,31530,formiga,mg
yQ9oNz28zxfb,2565,sao paulo,sp
Dfs0ckTcmSGd,23898,caieiras,sp
q0PYd7G5N9MV,72150,recife,pe
BXCHoEYRBIqM,60742,pocos de caldas,mg
jbTwou52qAzI,89982,itaporanga,sp
QsxVntH2qe6q,9760,garopaba,sc
ARtFmdPvH6OX,36594,rio das ostras,rj
sB1x80ZUOPiA,22010,guarulhos,sp
ll44jqfknrOb,98175,sao paulo,sp
t1kuXerPhQiB,12305,juiz de fora,mg
98aTnBilI6gC,98958,presidente prudente,sp
IH6W6gExtoPS,44895,sao paulo,sp
tuUud0RWr7f1,86800,santo andre,sp
kIt2LC6KHkff,64047,jandira,sp
QfIM6BS6UQWw,24330,curitiba,pr
prSsfCE0cuDh,42701,capivari,sp
u1tSwHWPaOmG,92440,sao bernardo do campo,sp
VkYTBgsP4ahW,4742,camacari,ba
9hLk4KZPIrdp,16013,montes claros,mg
ZNkeoW0v2Yz5,57038,osasco,sp
bVEGh3nqaNyK,27655,ivaipora,pr
4nWN1nYcBUUM,1129,sao paulo,sp
CJBe5YcVa8BV,13081,patrocinio,mg
njO6UF6KC5oM,26584,mendonca,sp
vGbrlOwsJGNT,37517,telemaco borba,pr
kRrMY3t755nL,38182,joao pessoa,pb
FB4qoCQtY78b,68580,maringa,pr
XUVgmhKGTlCU,39340,rio de janeiro,rj
FRenfQXwKTr2,9619,lins,sp
qXd5XyJFHOOH,65950,ponta grossa,pr
KBYhryQMswGj,12324,araruama,rj
InzL2EFfs1Z4,73015,faxinal,pr
TLcN4gqrngCZ,70383,sao paulo,sp
ZXGtgz22ZuTc,11618,olimpia,sp
10CMmu85B1xh,3883,guarulhos,sp
950pNgLYvrUB,37466,sao paulo,sp
GyQLgLcEsyyk,35685,cuiaba,mt
R0hdk8rOTHCx,4565,brasilia,df
f2XW6ZIEWnk2,3374,buritama,sp
P101VTJljiqW,72510,cangucu,rs
oEEHeCpHvpTJ,18890,sao paulo,sp
sQ58Z70GxzD1,44135,pinhalzinho,sc
2wl1V2O532Ne,6887,juiz de fora,mg
lkeyEiK1e5yg,2964,curitiba,pr
bCn2jXaQK8n2,3617,brasilia,df
PCtRlALJAqIy,28664,aracaju,se
GIo0gCA7DZwJ,46550,sao paulo,sp
OZVsT3BLq9H2,12924,santos,sp
j796RyTU4D9J,19200,barra do pirai,rj
sNvreFY4xGGx,6236,suzano,sp
Of9TY1egrbYl,5162,guaruja,sp
rVpZ5iyUcDs1,3510,goiana,pe
GCIHYuqgJO4m,7430,taboao da serra,sp
UaYsJO1dP5iW,16902,vinhedo,sp
6qgZyqFsEr8W,2046,piracicaba,sp
mPVFphfpomAt,23062,macae,rj
wtZTUGiZB7cc,52030,betim,mg
qK7oy4s5YyXx,4202,santo andre,sp
kLnTz5KGD1RN,91790,sao joao da boa vista,sp
BDfHue7TLPbA,95520,cocal,pi
pr9d47fsvAOA,9603,manhuacu,mg
G1Bo4rtOPOUV,68514,rio de janeiro,rj
ntLORCsAAxkl,9974,campinas,sp
Wzt8Wnmh39R5,88865,campinas,sp
IbNmDM5pVSuW,60734,duque de caxias,rj
2BDSGrKxGvBM,18217,betim,mg
zzXJDr2XBrBa,40320,americana,sp
wL6AVErEnDEN,4853,sao jose do rio preto,sp
MH8RBjpM8eLq,19015,sao paulo,sp
DVWp3lrKeGtO,80310,campinas,sp
nwe6tWyEFgKX,30494,itapeva,sp
ZnWtfiYU2gmJ,90090,sao paulo,sp
184l4HeebUUs,7438,tres lagoas,ms
rrVwfYACf06j,78237,campinas,sp
5I8T5HbvLcxV,8555,fortaleza,ce
gc5eu2jRP8Ue,2817,sao paulo,sp
YRGRe4QsNriT,7867,bocaina,pi
mgzE1mWPrm0b,37115,teresopolis,rj
YMfJQ9PazlYb,3157,guaratingueta,sp
ogasrBdboH6w,6142,embu-guacu,sp
W2VQOt7KVy6H,4184,betim,mg
IirLNRdsUxR3,45000,sao paulo,sp
t26lZBwvRhG4,75813,sao goncalo,rj
BTGQBnuBkWTP,9619,lins,sp
JqvcHU6MeNPY,13880,governador valadares,mg
vRbt7lQwnXRq,11070,sao luis,ma
ExANiT3OIbOY,37407,cosmorama,sp
VMGiDteguIiv,76300,rio de janeiro,rj
LlA9gb5gFVGc,12060,raposos,mg
CpEHH3xqcozm,1454,vitoria,es
oO7bOdpWgnYb,3050,tres marias,mg
D3m8aT6XucbW,39472,taboao da serra,sp
aijopZ8MSdrR,72318,curitiba,pr
L4YypNLTXp74,1429,tatui,sp
tdPbY5RvYiew,62030,ouro preto,mg
YActXwv3Y5Gi,63046,pinhais,pr
AGCtVipzoiOF,58540,rio de janeiro,rj
ILQa3Kn6bDI6,81560,sao goncalo,rj
g96IscN82qaH,45600,londrina,pr
rkwgauHpsbI2,25802,sao paulo,sp
jyMYviDKWitg,41770,jaboatao dos guararapes,pe
Ohw8sDco6bPu,79084,sao paulo,sp
YDUVSDBuTWfM,86708,rio verde,go
KpXnUCYEfrXH,17026,santa maria,rs
vyYSsscIhCiO,77026,campinas,sp
