order_id,customer_id,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_month,total_items,unique_products,unique_sellers,product_revenue,shipping_charges,total_order_value,shipping_to_price_pct,unique_categories,main_product_category,avg_product_weight_g,avg_product_volume_cm3,payment_rows,main_payment_type,max_installments,payment_value,payment_difference,payment_match_status
0llz1DKEU0D0,ARtFmdPvH6OX,"rio das ostras",rj,"2018-05-08 19:17:48","2018-05-08 20:15:26",2018-05-01,1,1,1,820.05,6.87,826.92,0.84,1,toys,550.00,5236.00,1,credit_card,2,281.26,-545.66,potential_gap
0bLeA89iFL8i,R0hdk8rOTHCx,brasilia,df,"2017-11-27 12:49:50","2017-11-27 12:57:55",2017-11-01,1,1,1,100.00,4.85,104.85,4.85,1,home_construction,900.00,8448.00,1,credit_card,1,39.52,-65.33,potential_gap
1jjbu6TXyRch,f2XW6ZIEWnk2,buritama,sp,"2018-05-29 19:16:01","2018-05-29 19:32:24",2018-05-01,1,1,1,1298.99,50.28,1349.27,3.87,1,toys,250.00,640.00,1,credit_card,1,24.72,-1324.55,potential_gap
1ADWBenqZlyI,vyYSsscIhCiO,campinas,sp,"2017-12-16 16:23:35","2017-12-16 16:32:23",2017-12-01,1,1,1,31.75,38.98,70.73,122.77,1,health_beauty,434.00,5760.00,1,credit_card,1,12.26,-58.47,potential_gap
1kGGcFSFoKao,sKwLXkyBq5VP,itabuna,ba,"2017-10-06 21:52:10","2017-10-06 22:07:28",2017-10-01,1,1,1,28.82,27.80,56.62,96.46,1,toys,450.00,3000.00,1,credit_card,6,230.14,173.52,potential_gap
0d19WT6gAay3,guvHjqqiGGYD,"sao paulo",sp,"2017-09-08 01:21:52","2017-09-08 01:30:17",2017-09-01,1,1,1,403.90,32.34,436.24,8.01,1,toys,200.00,1232.00,1,credit_card,1,589.92,153.68,potential_gap
0UBmWOKw8fEf,xDaUEW904mou,cuiaba,mt,"2018-04-23 10:53:41","2018-04-24 18:34:56",2018-04-01,1,1,1,223.51,24.76,248.27,11.08,1,toys,700.00,8736.00,1,credit_card,3,289.32,41.05,potential_gap
0DLS5w2AyhwI,KE0ldMSkJ7ON,itapeva,sp,"2017-12-21 20:16:54","2017-12-21 20:30:31",2017-12-01,1,1,1,403.90,67.11,471.01,16.62,1,toys,600.00,4400.00,1,credit_card,2,77.01,-394.00,potential_gap
1LQsht0oRLjV,xaKhF2p20DS4,"rio de janeiro",rj,"2018-08-11 18:20:45","2018-08-11 18:30:22",2018-08-01,1,1,1,148.48,29.06,177.54,19.57,1,toys,3325.00,27776.00,1,credit_card,10,235.69,58.15,potential_gap
0XMCKHWULwyS,SGDdbOOsBk5s,"rio de janeiro",rj,"2018-07-24 21:53:52","2018-07-24 22:05:16",2018-07-01,1,1,1,564.99,72.64,637.63,12.86,1,toys,1200.00,10560.00,1,credit_card,1,29.05,-608.58,potential_gap
