product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3
1slxdgbgWFax,toys,50.0,16.0,5.0,11.0,880.0
77PgsiElQLeB,electronics,200.0,21.0,7.0,14.0,2058.0
QVlD26X1y7NI,furniture_decor,1000.0,100.0,5.0,20.0,10000.0
yWlFGkKYfrpa,toys,8950.0,40.0,30.0,40.0,48000.0
h6MCbrwh5kiC,toys,2301.0,32.0,35.0,34.0,38080.0
CApN1zdCu8Ad,toys,400.0,22.0,27.0,27.0,16038.0
HOJj2KbHY8er,toys,12850.0,36.0,56.0,56.0,112896.0
bKrL5OryV9HU,toys,18800.0,60.0,40.0,42.0,100800.0
7ba9znpcLheP,toys,375.0,16.0,8.0,11.0,1408.0
TLhoqYaQLJ5g,toys,200.0,16.0,16.0,16.0,4096.0
EG4wDSpFyTth,health_beauty,250.0,22.0,10.0,18.0,3960.0
hoFRvSkFE7Xv,home_appliances,950.0,25.0,11.0,15.0,4125.0
YLYPEDYgvdfH,toys,250.0,23.0,13.0,21.0,6279.0
XnVJHXWoT9t9,toys,3100.0,30.0,30.0,30.0,27000.0
cDHQRx6Mr5x7,toys,100.0,19.0,3.0,11.0,627.0
cKboTGrWp54z,toys,2600.0,17.0,17.0,60.0,17340.0
MUIEAN159RuU,baby,450.0,30.0,7.0,20.0,4200.0
W5lSpNbHbIjE,toys,1150.0,33.0,4.0,28.0,3696.0
claM69kKTNfa,toys,450.0,27.0,16.0,27.0,11664.0
aUvBxYvPYgvN,toys,350.0,17.0,4.0,12.0,816.0
ccg64CBDaXEK,toys,1100.0,24.0,21.0,16.0,8064.0
C0fYrgNXAm4X,toys,700.0,30.0,36.0,20.0,21600.0
hBVeRiNmH8jL,toys,3625.0,29.0,38.0,26.0,28652.0
8IhgV2nH9kXE,health_beauty,700.0,25.0,12.0,19.0,5700.0
F7VM3KqshbPZ,bed_bath_table,1300.0,43.0,5.0,30.0,6450.0
rfAfXKCzKmqX,toys,367.0,17.0,12.0,12.0,2448.0
fBYJ0RAV9NzF,perfumery,400.0,18.0,18.0,12.0,3888.0
mHI4NBBHLa3q,toys,150.0,16.0,9.0,11.0,1584.0
p9owG1LeMQyo,toys,2100.0,30.0,24.0,25.0,18000.0
q1g2MXdXLhY1,toys,450.0,45.0,15.0,35.0,23625.0
dUoMatEvc2jC,food_drink,600.0,28.0,15.0,20.0,8400.0
EtByr6hYFH77,toys,850.0,25.0,18.0,40.0,18000.0
74QWytNFaRdz,toys,200.0,18.0,14.0,17.0,4284.0
fv7KNAysdXlN,toys,260.0,21.0,16.0,20.0,6720.0
wfUecfuVgluN,toys,725.0,30.0,9.0,27.0,7290.0
uX3peyoIafeb,toys,1700.0,42.0,10.0,36.0,15120.0
cSXYaf2R23NY,housewares,300.0,35.0,4.0,15.0,2100.0
